0.00	12.04	41.03	0.47	15.62	12.93
0.00	11.59	141.91	1.27	18.28	11.77
0.00	11.37	151.30	0.84	18.66	12.16
5.84	11.68	130.93	0.73	18.66	12.55
0.00	12.06	205.35	0.87	19.04	12.16
0.25	12.35	223.47	0.79	19.04	11.77
0.25	12.53	205.93	0.74	19.81	11.38
0.00	11.75	208.33	0.74	19.81	11.77
0.00	11.07	271.45	0.85	19.81	12.55
0.00	10.26	326.18	0.94	20.57	10.99
0.00	10.13	223.43	0.91	20.57	12.93
0.00	8.22	164.05	1.02	19.81	13.32
0.00	5.96	196.44	1.03	19.42	13.32
0.00	4.88	295.98	1.10	22.09	12.55
0.00	7.19	243.69	1.04	19.81	12.55
0.00	9.37	176.40	0.94	19.81	12.16
0.00	11.16	125.62	0.77	18.66	11.38
0.00	10.85	149.94	0.87	16.76	12.16
0.00	8.09	290.67	1.39	20.57	12.55
0.00	7.88	247.18	0.94	20.57	11.77
0.00	9.53	224.10	0.91	19.42	12.55
1.02	10.63	122.70	0.86	17.14	12.16
0.00	10.37	172.90	0.84	17.9	11.77
0.25	11.38	197.66	0.96	18.66	12.16
1.27	11.32	85.51	0.67	17.14	11.38
27.95	11.62	90.41	0.56	16.38	12.55
0.51	11.90	82.02	0.47	17.14	11.77
1.27	12.55	125.72	0.58	16.76	11.77
0.51	13.30	114.32	0.83	17.14	12.16
0.00	12.13	49.62	0.65	14.09	11.77
0.51	12.18	64.31	0.56	16	11.77
0.00	12.71	93.43	0.47	16	12.16
0.00	13.06	97.28	0.48	18.28	12.55
0.51	12.69	60.88	0.45	16.38	11.77
0.00	12.50	236.60	0.39	19.04	12.93
0.25	12.37	56.71	0.37	15.62	12.55
2.79	12.78	110.35	0.24	16.38	12.55
0.51	13.00	111.40	0.36	16.76	12.93
0.00	12.95	138.01	0.07	18.28	12.16
0.00	12.15	219.00	0.15	18.66	12.93
0.00	10.97	208.74	0.07	19.04	12.55
0.00	10.69	206.19	0.12	19.04	12.16
0.00	10.34	193.90	0.08	19.04	11.77
0.00	10.86	284.68	0.47	19.42	11.77
0.00	9.40	246.14	0.40	19.04	11.38
0.00	9.20	201.19	0.67	19.42	11.38
0.00	3.44	278.43	0.60	19.04	11.38
0.00	3.35	282.38	0.86	19.81	11.38
0.00	1.58	252.44	0.60	18.28	10.99
0.00	1.80	219.10	0.60	19.42	11.38
0.00	-0.30	235.15	0.98	19.81	10.6
0.00	-2.43	261.35	1.04	20.19	11.38
0.00	0.86	288.54	0.82	19.81	10.21
0.00	1.56	273.53	0.95	19.42	12.16
0.00	3.87	206.81	0.57	21.33	12.16
0.00	8.12	219.72	0.66	19.81	11.77
0.00	10.71	223.06	0.43	19.81	10.6
0.00	10.92	200.62	0.40	20.19	10.99
0.25	9.89	157.33	0.24	17.14	10.21
0.76	11.73	107.85	0.34	16.76	11.38
0.00	8.97	213.48	0.78	20.19	10.6
0.00	8.41	226.86	0.45	17.9	12.16
0.00	9.02	289.73	0.50	19.42	12.16
0.00	8.50	204.73	0.45	17.52	11.38
0.00	10.65	201.39	0.47	18.66	10.99
0.00	10.91	99.36	0.34	17.14	10.6
0.51	12.02	123.22	0.43	16.38	12.55
0.00	13.21	186.66	0.49	18.66	12.16
5.84	12.43	36.29	0.50	13.7	11.77
0.25	12.23	155.61	0.53	18.28	12.16
0.25	12.54	153.27	0.47	17.9	11.77
0.00	12.03	87.80	0.32	16.76	12.16
3.81	12.05	92.12	0.39	17.14	11.77
0.25	12.16	63.10	0.40	14.85	11.77
0.76	12.08	89.37	0.42	16	11.38
0.00	12.47	138.59	0.47	18.28	11.38
2.79	12.75	105.51	0.34	17.14	11.38
9.65	12.69	64.78	0.32	14.47	11.77
9.91	12.81	62.80	0.28	15.62	12.16
5.84	12.81	62.28	0.19	14.85	12.55
24.90	12.79	60.67	0.40	14.47	12.16
7.87	11.58	93.22	0.25	16	11.38
9.91	12.73	182.95	0.49	16.76	11.77
0.00	12.54	149.31	0.45	16.76	12.16
0.00	11.86	266.03	0.67	17.52	10.99
0.00	11.70	75.35	0.60	14.85	10.99
8.64	11.72	172.85	0.84	17.52	9.42
9.15	12.49	163.90	0.55	16.38	11.77
1.27	12.46	62.12	0.49	13.7	11.38
16.00	12.31	74.68	0.53	14.09	11.38
5.08	12.41	114.05	0.54	14.09	10.99
0.00	11.90	180.82	0.47	17.14	10.6
0.00	11.47	131.55	0.42	17.14	11.77
2.03	12.70	78.63	0.31	14.09	11.38
3.81	12.96	71.45	0.41	14.47	11.77
0.00	11.65	140.56	0.43	17.14	12.16
0.00	11.56	149.63	0.33	16	11.77
7.62	12.79	165.61	0.52	18.28	11.77
0.51	13.28	232.38	0.60	17.14	11.77
5.59	13.09	78.80	0.42	16	11.77
14.23	12.86	33.64	0.30	13.32	11.77
11.18	12.74	37.70	0.20	13.7	11.77
4.57	12.86	52.23	0.19	14.09	11.38
23.63	13.08	35.35	0.29	13.7	12.16
24.39	13.53	75.19	0.30	14.85	12.16
8.38	13.65	72.75	0.36	14.47	12.55
1.27	13.48	96.03	0.40	14.85	10.99
1.27	13.46	68.85	0.44	14.85	11.38
14.23	13.78	41.29	0.41	14.09	12.16
8.38	13.82	56.55	0.25	14.85	12.55
1.27	14.66	63.63	0.18	16	12.55
2.54	14.12	70.60	0.42	15.62	11.77
4.06	14.65	75.39	0.31	14.85	12.93
5.59	14.88	72.38	0.34	15.62	13.32
27.94	14.22	65.00	0.38	15.62	12.16
21.34	14.46	63.54	0.31	14.85	13.32
29.97	14.13	54.20	0.40	14.85	12.93
9.40	14.21	94.16	0.24	16	12.93
17.53	13.99	58.53	0.33	14.85	12.55
12.19	14.20	59.38	0.20	15.23	12.16
19.81	14.00	65.50	0.33	14.47	12.16
63.76	14.11	61.37	0.30	14.85	12.55
20.83	14.33	77.66	0.20	16	12.16
16.51	14.28	74.68	0.42	15.23	12.55
15.24	14.71	119.54	0.39	16	12.55
41.91	14.68	78.18	0.32	15.23	12.55
12.45	14.82	76.77	0.33	15.62	12.55
8.64	14.91	75.54	0.07	15.62	12.93
18.03	14.97	66.40	0.25	15.62	13.32
21.34	14.77	72.51	0.41	15.62	12.93
17.27	14.71	77.96	0.24	15.62	12.55
14.48	14.81	74.04	0.36	15.23	12.93
1.78	14.90	135.33	0.29	18.66	12.55
8.89	15.03	101.89	0.33	16.38	12.55
10.16	14.61	89.73	0.47	15.62	12.93
6.10	14.18	60.81	0.42	15.23	11.77
5.33	14.27	81.07	0.36	15.62	11.77
